"Voter, Affiliation",All-Defensive First Team,All-Defensive First Team,All-Defensive First Team,All-Defensive First Team,All-Defensive First Team,All-Defensive Second Team,All-Defensive Second Team,All-Defensive Second Team,All-Defensive Second Team,All-Defensive Second Team
"Jorge Sedano, ESPN/ABC","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","Ivica Zubac, LA Clippers","Giannis Antetokounmpo, Milwaukee","Toumani Camara, Portland","Dyson Daniels, Atlanta","Jaren Jackson Jr., Memphis","Jalen Williams, Oklahoma City"
"Ramona Shelburne, ESPN","Toumani Camara, Portland","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Brook Lopez, Milwaukee","Jaden McDaniels, Minnesota","Amen Thompson, Houston","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
"Bill Simmons, The Ringer","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Ivica Zubac, LA Clippers","Giannis Antetokounmpo, Milwaukee","OG Anunoby, New York","Toumani Camara, Portland","Amen Thompson, Houston","Jalen Williams, Oklahoma City"
"Anthony Slater, The Athletic","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Ivica Zubac, LA Clippers","Bam Adebayo, Miami","Rudy Gobert, Minnesota","Jaren Jackson Jr., Memphis","Amen Thompson, Houston","Jalen Williams, Oklahoma City"
"Doug Smith, The Toronto Star","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","OG Anunoby, New York","Toumani Camara, Portland","Rudy Gobert, Minnesota","Jaren Jackson Jr., Memphis","Jalen Williams, Oklahoma City"
"Stephen A. Smith, ESPN","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Jaren Jackson Jr., Memphis","Evan Mobley, Cleveland","Amen Thompson, Houston","Bam Adebayo, Miami","OG Anunoby, New York","Toumani Camara, Portland","Dyson Daniels, Atlanta","Ivica Zubac, LA Clippers"
"Steve Smith, WarnerMedia","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","Toumani Camara, Portland","Rudy Gobert, Minnesota","Jaren Jackson Jr., Memphis","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
"Justin Termine, Sirius Radio","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Jaren Jackson Jr., Memphis","Evan Mobley, Cleveland","Ivica Zubac, LA Clippers","OG Anunoby, New York","Toumani Camara, Portland","Rudy Gobert, Minnesota","Draymond Green, Golden State","Amen Thompson, Houston"
"Flavio Tranquillo, Sky Italia","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Derrick White, Boston","Toumani Camara, Portland","Jaren Jackson Jr., Memphis","Jaden McDaniels, Minnesota","Amen Thompson, Houston","Ivica Zubac, LA Clippers"
"Stan Van Gundy, WarnerMedia","Dillon Brooks, Houston","Dyson Daniels, Atlanta","Draymond Green, Golden State","Evan Mobley, Cleveland","Derrick White, Boston","Luguentz Dort, Oklahoma City","Anthony Edwards, Minnesota","Brook Lopez, Milwaukee","Amen Thompson, Houston","Jalen Williams, Oklahoma City"
"Joe Vardon, The Athletic","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Ivica Zubac, LA Clippers","Toumani Camara, Portland","Shai Gilgeous-Alexander, Oklahoma City","Rudy Gobert, Minnesota","Jaren Jackson Jr., Memphis","Myles Turner, Indiana"
"Gary Washburn, Boston Globe","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","Bam Adebayo, Miami","Jarrett Allen, Cleveland","Giannis Antetokounmpo, Milwaukee","Toumani Camara, Portland","Derrick White, Boston"
"Michael Wilbon, ESPN","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers","OG Anunoby, New York","Dyson Daniels, Atlanta","Jaren Jackson Jr., Memphis","Amen Thompson, Houston","Derrick White, Boston"
"Brian Windhorst, ESPN","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Rudy Gobert, Minnesota","Evan Mobley, Cleveland","Ivica Zubac, LA Clippers","Toumani Camara, Portland","Draymond Green, Golden State","Jaren Jackson Jr., Memphis","Amen Thompson, Houston","Jalen Williams, Oklahoma City"
"Matt Winer, WarnerMedia","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","Toumani Camara, Portland","Rudy Gobert, Minnesota","Jaren Jackson Jr., Memphis","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
"Michael C. Wright, ESPN","Dyson Daniels, Atlanta","Draymond Green, Golden State","Jaren Jackson Jr., Memphis","Evan Mobley, Cleveland","Amen Thompson, Houston","OG Anunoby, New York","Toumani Camara, Portland","Luguentz Dort, Oklahoma City","Rudy Gobert, Minnesota","Jalen Williams, Oklahoma City"
"Ohm Youngmisuk, ESPN","Dyson Daniels, Atlanta","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","Ivica Zubac, LA Clippers","Toumani Camara, Portland","Luguentz Dort, Oklahoma City","Rudy Gobert, Minnesota","Jaren Jackson Jr., Memphis","Jalen Williams, Oklahoma City"
"Jeff Zillgitt, USA Today","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","Toumani Camara, Portland","Jaden McDaniels, Minnesota","Derrick White, Boston","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
