"Voter, Affiliation",All-Defensive First Team,All-Defensive First Team,All-Defensive First Team,All-Defensive First Team,All-Defensive First Team,All-Defensive Second Team,All-Defensive Second Team,All-Defensive Second Team,All-Defensive Second Team,All-Defensive Second Team
"Dan Devine, Yahoo! Sports","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","OG Anunoby, New York","Rudy Gobert, Minnesota","Jaren Jackson Jr., Memphis","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
"Bennett Durando, Denver Post","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Jaren Jackson Jr., Memphis","Evan Mobley, Cleveland","Toumani Camara, Portland","Rudy Gobert, Minnesota","Amen Thompson, Houston","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
"Chris Fedor, Cleveland.com","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","Toumani Camara, Portland","Rudy Gobert, Minnesota","Jaren Jackson Jr., Memphis","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
"Aaron Fentress, The Oregonian","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","Toumani Camara, Portland","Rudy Gobert, Minnesota","Jaren Jackson Jr., Memphis","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
"Brian Geltzeiler, Sirius Radio","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","OG Anunoby, New York","Toumani Camara, Portland","Jaren Jackson Jr., Memphis","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
"Katie George, ESPN/ABC","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Evan Mobley, Cleveland","Amen Thompson, Houston","Ivica Zubac, LA Clippers","OG Anunoby, New York","Rudy Gobert, Minnesota","Draymond Green, Golden State","Jaren Jackson Jr., Memphis","Jalen Williams, Oklahoma City"
"Vince Goodwill, Yahoo! Sports","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","Giannis Antetokounmpo, Milwaukee","OG Anunoby, New York","Jaren Jackson Jr., Memphis","Jaden McDaniels, Minnesota","Jalen Williams, Oklahoma City"
"Michael Grange, Rogers Sportsnet","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Evan Mobley, Cleveland","Amen Thompson, Houston","Ivica Zubac, LA Clippers","OG Anunoby, New York","Rudy Gobert, Minnesota","Draymond Green, Golden State","Jaren Jackson Jr., Memphis","Jalen Williams, Oklahoma City"
"Jared Greenberg, WarnerMedia","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Ivica Zubac, LA Clippers","Toumani Camara, Portland","Rudy Gobert, Minnesota","Jaren Jackson Jr., Memphis","Amen Thompson, Houston","Jalen Williams, Oklahoma City"
"Will Guillory, The Athletic","Dyson Daniels, Atlanta","Luguentz Dort, Oklahoma City","Draymond Green, Golden State","Evan Mobley, Cleveland","Amen Thompson, Houston","OG Anunoby, New York","Rudy Gobert, Minnesota","Jaren Jackson Jr., Memphis","Jalen Williams, Oklahoma City","Ivica Zubac, LA Clippers"
